Run Timestamp,Model,Model Path,Backend,Dataset,Split,Image Size,Batch Size,Confidence Threshold,IoU Threshold,Device,Warmup Runs,Timed Runs,Warmup Excluded,Speed Samples,FPS,FPS Min,FPS Max,Latency(ms),Latency Min(ms),Latency Max(ms),Latency Std(ms),Precision,Recall,mAP50,mAP50-95,Size(MB),Baseline Size(MB),Size Reduction(%),Memory(MB),GPU Memory(MB),GPU Reserved(MB),RAM Usage(MB),CPU RSS(MB),CPU Memory Delta(MB),Images,Labels,Predictions,Python,Torch,CUDA Available,CUDA Device,OS,Status,Error
2026-07-02T08:37:36+00:00,parking_front,models/parking_front.pth,rfdetr,data/Kips_Dataset/labeled_test/front,val,640,1,0.250000,0.700000,cuda:0,3,30,yes,,,,,,,,,,,,,135.892716,135.892716,0.000000,,,,,,,,,,3.10.12,2.12.1+cu130,True,NVIDIA GeForce RTX 3060,Linux-6.8.0-106-generic-x86_64-with-glibc2.35,failed,"ValueError: shape must have both dimensions divisible by 24 (patch_size=12 * num_windows=2), got (640, 640)."
2026-07-02T08:38:35+00:00,parking_rear,models/parking_rear.pth,rfdetr,data/Kips_Dataset/labeled_test/rear,val,640,1,0.250000,0.700000,cuda:0,3,30,yes,,,,,,,,,,,,,135.927812,135.927812,0.000000,,,,,,,,,,3.10.12,2.12.1+cu130,True,NVIDIA GeForce RTX 3060,Linux-6.8.0-106-generic-x86_64-with-glibc2.35,failed,"ValueError: shape must have both dimensions divisible by 24 (patch_size=12 * num_windows=2), got (640, 640)."
2026-07-02T08:43:01+00:00,parking_front,models/parking_front.pth,rfdetr,data/Kips_Dataset/labeled_test/front,val,672,1,0.250000,0.700000,cuda:0,3,30,yes,32,8.775492,6.827260,9.477381,112.976688,109.324642,116.496849,1.530322,0.928571,0.983452,0.976623,0.826917,135.892716,135.892716,0.000000,1873.691406,1492.658691,2186.000000,10238.480469,1873.691406,652.062500,296,423,448,3.10.12,2.12.1+cu130,True,NVIDIA GeForce RTX 3060,Linux-6.8.0-106-generic-x86_64-with-glibc2.35,ok,
2026-07-02T08:56:56+00:00,parking_rear,models/parking_rear.pth,rfdetr,data/Kips_Dataset/labeled_test/rear,val,672,1,0.250000,0.700000,cuda:0,3,30,yes,32,8.744804,6.475316,9.416436,115.681966,109.131021,132.484834,4.658226,0.925305,0.995082,0.985795,0.871297,135.927812,135.927812,0.000000,1836.519531,1169.275391,1482.000000,10481.593750,1836.519531,613.367188,296,610,656,3.10.12,2.12.1+cu130,True,NVIDIA GeForce RTX 3060,Linux-6.8.0-106-generic-x86_64-with-glibc2.35,ok,
