experiment_id,family,method,precision,input_shape,bbox_ap,bbox_ap50,bbox_ap75,bbox_ap_small,bbox_ap_medium,bbox_ap_large,bbox_ar100,mask_ap,mask_ap50,mask_ap75,mask_ap_small,mask_ap_medium,mask_ap_large,mask_ar100,semantic_miou,benchmark_repetitions,measured_runs_per_repetition,total_measured_runs,replicate_median_ms,replicate_mean_ms,replicate_median_mean_ms,replicate_median_std_ms,replicate_median_cv,replicate_median_ci95_low_ms,replicate_median_ci95_high_ms,mean_ms,median_ms,standard_deviation_ms,coefficient_of_variation,min_ms,max_ms,p05_ms,p25_ms,p75_ms,p95_ms,p99_ms,iqr_ms,fps,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,engine_size_bytes,engine_sha256,annotation_sha256,test_image_count,prediction_count,engine,benchmarks,evaluation,bbox_ap_delta_vs_B01,mask_ap_delta_vs_B01,semantic_miou_delta_vs_B01,median_latency_reduction_vs_B01_pct,speedup_vs_B01,engine_size_reduction_vs_B01_pct,gpu_memory_reduction_vs_B01_pct,measurement_valid,latency_stability_warning,accuracy_gate_pass,stage3_pareto_eligible,exclusion_reason
B01,baseline,none,fp32,1x3x504x504,0.7378589271657685,0.9268739559620214,0.7921449439777805,0.3108272172948915,0.6103673048630374,0.8415875264113254,0.8793871239311294,0.6026426958851505,0.8399217797660261,0.6488118849989394,0.05679280617727269,0.48866117603692816,0.7159652185775518,0.729644128492741,0.7120070817052193,3,200,600,"[48.1755879998218, 49.01755049991152, 49.95251900004405]","[48.30222679501276, 49.1288066400125, 50.32333924497834]",49.04855249992579,0.8888710749548404,0.01812226925465711,46.84029612614238,51.256808873709204,49.2514575600012,49.072379500103125,1.83186306219304,0.03719408831629704,45.15584000000672,54.630323000310455,46.376726050061734,48.01874800000405,50.28282350019708,52.86397085008048,53.98668073999943,2.26407550019303,20.30396762941965,941561856,1000341504,135622764,b7800a7c51d9163f3b88030919f15231ff1b262cad9feac52bbd09081684ef6d,037949731e462ecb42feb6e61b61fbca555dfe2a3d381464ad36a17b0a7ff9b9,437,86415,artifacts/experiments/B01/front/model.engine,"['results/benchmarks/notebook/B01/repeat-01/front_tensorrt_fp32_20260903_212921.json', 'results/benchmarks/notebook/B01/repeat-02/front_tensorrt_fp32_20260903_212937.json', 'results/benchmarks/notebook/B01/repeat-03/front_tensorrt_fp32_20260903_212954.json']",results/coco-evaluation/B01-front.json,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,True,True,
B02,precision,tensorrt-fp16,fp16,1x3x504x504,0.7415530084406021,0.9275051218773379,0.7930866276291076,0.31399164313576833,0.6360391797757647,0.8468595654605359,0.8803819874346566,0.6017216878776938,0.8374940913575352,0.648793643811385,0.05334195308063992,0.48682626878739715,0.7146840996719729,0.730692346522091,0.7138475799724896,3,200,600,"[27.75560400004906, 27.238040499923954, 27.146126500156242]","[28.06880126000351, 27.651732094975614, 27.509437324999908]",27.379923666709754,0.32857849972537034,0.012000709122680166,26.563623545408582,28.196223788010926,27.743323559993012,27.337854000052175,1.4141076073147667,0.050971095956000266,25.08102499996312,34.04498200006856,26.10164775028352,26.722514750076698,28.512443249951502,30.484671349768178,31.613509899707424,1.7899284998748044,36.044708120048035,941561856,1000341504,71242972,eedabbb239942a30399e9f1b59b0f8a0c9d76097de80e4efd466535a9b879185,037949731e462ecb42feb6e61b61fbca555dfe2a3d381464ad36a17b0a7ff9b9,437,86439,artifacts/experiments/B02/front/model.engine,"['results/benchmarks/notebook/B02/repeat-01/front_tensorrt_fp16_20260903_213444.json', 'results/benchmarks/notebook/B02/repeat-02/front_tensorrt_fp16_20260903_213456.json', 'results/benchmarks/notebook/B02/repeat-03/front_tensorrt_fp16_20260903_213508.json']",results/coco-evaluation/B02-front.json,0.003694081274833616,-0.0009210080074567584,0.0018404982672702852,44.290751175017455,1.7950340761937447,47.469753676455085,0.0,True,False,True,True,
B03,precision,tensorrt-int8-ptq,int8,1x3x504x504,0.7421901253864573,0.9283440854106519,0.7952832340439254,0.31254769924832465,0.6342850842923609,0.8478497259422241,0.8784045379137204,0.602749828431408,0.8396094796758079,0.6474215696365945,0.053793733353535725,0.48623889165257045,0.7151903388283486,0.7297329328771308,0.712443682711115,3,200,600,"[26.52211599979637, 26.53236049991392, 26.51403100026073]","[26.868835399964155, 26.889712579986735, 26.730438250006046]",26.522835833323672,0.009185927259365699,0.0003463403128192034,26.500014883254355,26.54565678339299,26.829662076652312,26.520097000229725,1.4630217592173103,0.05453001066645785,24.030979000599473,31.601691000105347,24.78770849970715,25.826082250205218,27.697732749857096,29.611090999787848,30.948897729394957,1.871650499651878,37.272180213936394,941561856,1000341504,71309796,29efb304dc17c96d4a8b281be1a71eb5e1cf743fb8a87e30aaebe8e6b17d97cf,037949731e462ecb42feb6e61b61fbca555dfe2a3d381464ad36a17b0a7ff9b9,437,86420,artifacts/experiments/B03/front/model.engine,"['results/benchmarks/notebook/B03/repeat-01/front_tensorrt_int8_20260903_214246.json', 'results/benchmarks/notebook/B03/repeat-02/front_tensorrt_int8_20260903_214257.json', 'results/benchmarks/notebook/B03/repeat-03/front_tensorrt_int8_20260903_214308.json']",results/coco-evaluation/B03-front.json,0.004331198220688837,0.00010713254625749347,0.00043660100589570927,45.95718147277942,1.8503846158510673,47.42048171205241,0.0,True,False,True,True,
M01,semi-structured,nvidia-2to4,fp16,1x3x504x504,0.6345828690273081,0.9066032122687276,0.6978480344394071,0.22404947403893785,0.5768438833150134,0.7365292069606161,0.7877063098121311,0.517988143310128,0.8030065832256142,0.5591948804271022,0.043139789153267716,0.2944273394184036,0.6398070949785498,0.6773796443427956,0.6826235848602537,3,200,600,"[43.83496650007146, 43.96386599910329, 43.45412850125285]","[44.14792330000637, 44.12300515003153, 43.682239369936724]",43.75098700014254,0.2650424427991495,0.006057976310300977,43.09253193266936,44.409442067615714,43.98438927332487,43.71428499962349,1.1920721895997797,0.027102165320338628,42.05129699948884,50.34483800045564,42.47203599925342,43.09916375041212,44.69126374988264,46.19608764987788,47.258162730031465,1.5920999994705198,22.735338980970415,941561856,1000341504,71198284,34429486ea34f461cebfd4ed7b2e2df537160c9326589d120e74a962ac39efb7,037949731e462ecb42feb6e61b61fbca555dfe2a3d381464ad36a17b0a7ff9b9,437,87264,artifacts/experiments/M01/front/model.engine,"['results/benchmarks/notebook/M01/repeat-01/front_tensorrt_fp16_20260904_010606.json', 'results/benchmarks/notebook/M01/repeat-02/front_tensorrt_fp16_20260904_010621.json', 'results/benchmarks/notebook/M01/repeat-03/front_tensorrt_fp16_20260904_010635.json']",results/coco-evaluation/M01-front.json,-0.10327605813846041,-0.08465455257502252,-0.029383496844965662,10.918758281261617,1.1225707912305047,47.50270389711273,0.0,True,False,False,False,accuracy retention gate failed
M02,semi-structured,nvidia-2to4,fp16,1x3x504x504,0.632380362274998,0.9051394892406524,0.7002936630194493,0.23004444851190609,0.6466274780332826,0.7340556473144345,0.7849560561396349,0.5148480302335408,0.7977061108149173,0.5585710767517705,0.040748802125895274,0.3049099714816371,0.6389520950785644,0.6723818226287619,0.6751028359197037,3,200,600,"[43.58756150031695, 43.05093950006267, 43.52199099957943]","[43.97319178498947, 43.39950106505967, 43.81282333505624]",43.38683066665302,0.29273200967234714,0.006747024504312089,42.65958535022484,44.1140759830812,43.72850539503512,43.33757899985358,1.3089568908087421,0.0299337212416448,41.55079400152317,49.409365999963484,42.11806560097102,42.75346625036036,44.72811124969667,46.02326784970501,47.12123359957331,1.9746449993363058,22.86837821156217,941561856,1000341504,65423652,808767d244919a7d37ca5e2509f2480b945e36ea5e8b44fb6f61c2871fc0d5c2,037949731e462ecb42feb6e61b61fbca555dfe2a3d381464ad36a17b0a7ff9b9,437,87258,artifacts/experiments/M02/front/model.engine,"['results/benchmarks/notebook/M02/repeat-01/front_tensorrt_fp16_20260904_011059.json', 'results/benchmarks/notebook/M02/repeat-02/front_tensorrt_fp16_20260904_011114.json', 'results/benchmarks/notebook/M02/repeat-03/front_tensorrt_fp16_20260904_011128.json']",results/coco-evaluation/M02-front.json,-0.10547856489077045,-0.08779466565160976,-0.036904245785515655,11.686412109356745,1.1323285848586264,51.76056727467964,0.0,True,False,False,False,accuracy retention gate failed
S01,structured,decoder-layer,fp32,1x3x504x504,0.7389992702819812,0.9339003048650467,0.7907324434051439,0.28278597481571294,0.5624136069334063,0.8448316781821551,0.8736058243951713,0.6022300056180777,0.8437673446660442,0.6591472482934229,0.05560609881632403,0.4551544060176449,0.7108976359206587,0.7313176825802522,0.7338994811052602,3,200,600,"[48.80638049962727, 47.76950399946145, 48.65277999988393]","[48.87835699498282, 47.910033634971114, 48.829902460033736]",48.409554832990885,0.5595954614778811,0.011559607672667945,47.019330446837266,49.799779219144504,48.53943102999589,48.4040544997697,1.3338635973580106,0.02748000067272572,45.44090000035794,53.37277299986454,46.53094050004256,47.63513999978386,49.241829000038706,51.033115100153736,52.836407209824756,1.6066890002548462,20.601807206640526,941561856,1000341504,129241676,1657f1292a20ef0ad02f1c733c8e8056038a6d6de5bed2e6d75eb385142cbb90,037949731e462ecb42feb6e61b61fbca555dfe2a3d381464ad36a17b0a7ff9b9,437,87120,artifacts/experiments/S01/front/model.engine,"['results/benchmarks/notebook/S01/repeat-01/front_tensorrt_fp32_20260903_214613.json', 'results/benchmarks/notebook/S01/repeat-02/front_tensorrt_fp32_20260903_214629.json', 'results/benchmarks/notebook/S01/repeat-03/front_tensorrt_fp32_20260903_214646.json']",results/coco-evaluation/S01-front.json,0.0011403431162126942,-0.00041269026707280165,0.02189239940004084,1.3619168402706467,1.013807211136344,4.705027247490694,0.0,True,False,True,True,
S02,structured,decoder-layer,fp32,1x3x504x504,0.7161213328372058,0.9245232363702137,0.7750870289005215,0.30498341820914937,0.6302001302183599,0.8210755146097616,0.8755654798568346,0.5850419797466627,0.8246511509749055,0.6385949400909041,0.050396644768475336,0.4488039832790011,0.7059797642722884,0.7241024058480653,0.7531286481742853,3,200,600,"[81.03562750011406, 82.86287399960202, 80.16436449997855]","[81.21385554997232, 82.52875289999338, 80.25524410501475]",81.35428866656487,1.3771881077552084,0.01692827913964919,77.93288763042061,84.77568970270913,81.33261751832681,81.08357399987653,1.544794677692123,0.018993544347002383,77.72173400007887,85.74994100035838,79.0618108000217,80.16325000016877,82.64672525001515,83.84538319978674,84.46603757005505,2.4834752498463786,12.29519017723324,941561856,1000341504,122879868,a5a26d9f974c0e14adc550ab7644919652b2b08025f2b335d3af05e7c220902d,037949731e462ecb42feb6e61b61fbca555dfe2a3d381464ad36a17b0a7ff9b9,437,85836,artifacts/experiments/S02/front/model.engine,"['results/benchmarks/notebook/S02/repeat-01/front_tensorrt_fp32_20260903_215019.json', 'results/benchmarks/notebook/S02/repeat-02/front_tensorrt_fp32_20260903_215042.json', 'results/benchmarks/notebook/S02/repeat-03/front_tensorrt_fp32_20260903_215105.json']",results/coco-evaluation/S02-front.json,-0.021737594328562704,-0.017600716138487793,0.04112156646906595,-65.23261114677787,0.6052074061286179,9.395838592406212,0.0,True,False,False,False,accuracy retention gate failed
S04,structured,ffn-dimension,fp32,1x3x504x504,0.5180516359118821,0.8589535704838495,0.5845971368127594,0.16141184154408017,0.3736749652854666,0.5842179739223072,0.7204825107348503,0.5213500016890231,0.7965053880640579,0.5546988822653518,0.04346100210524973,0.3436729152004812,0.6249359387461625,0.7126610884295617,0.6475576194715931,3,200,600,"[84.87026399870956, 84.84409250013414, 84.55815849902137]","[85.14965628496611, 85.05715898004382, 84.80535884502387]",84.75750499928836,0.17313436172794155,0.0020427024336003665,84.32738068927402,85.1876293093027,85.00405803667793,84.76287699977547,1.3688243147116423,0.016103046681853892,81.50326000031782,89.84584099925996,83.04031230072724,84.13865200145665,85.66034149998814,87.70145749858784,88.8876181703381,1.5216894985314866,11.764144243190314,941561856,1000341504,127079372,0be2db8272e6055f37e30e3b3a809704ffccf615e40e8c5ad0726370bb089c04,037949731e462ecb42feb6e61b61fbca555dfe2a3d381464ad36a17b0a7ff9b9,437,83756,artifacts/experiments/S04/front/model.engine,"['results/benchmarks/notebook/S04/repeat-01/front_tensorrt_fp32_20260904_011449.json', 'results/benchmarks/notebook/S04/repeat-02/front_tensorrt_fp32_20260904_011513.json', 'results/benchmarks/notebook/S04/repeat-03/front_tensorrt_fp32_20260904_011537.json']",results/coco-evaluation/S04-front.json,-0.21980729125388643,-0.08129269419612739,-0.06444946223362624,-72.7303176720773,0.5789371625532851,6.299379062942561,0.0,True,False,False,False,accuracy retention gate failed
C01,combined,structured-selected,fp16,1x3x504x504,0.738597901902575,0.9359410615277045,0.7924916805209145,0.2779313552831788,0.5567115122369054,0.8417660311406839,0.8752296601943022,0.6029119261351803,0.8414925820154284,0.6562434314308484,0.055714564259962435,0.4483125129222714,0.7132881723417649,0.7335722604027154,0.7366895364204816,3,200,600,"[44.17159799959336, 42.42926699998861, 42.80226750006477]","[43.86037810500511, 42.885486764971574, 43.08613422500457]",43.13437749988225,0.9174159999858252,0.021268789609594566,40.855205878190645,45.41354912157385,43.27733303166042,42.93135700027051,1.3266040273367081,0.030653553128290132,40.86163700048928,49.06528599985904,41.52655329976369,42.152000250098354,44.29296500006785,45.52685139965433,46.440142110595836,2.1409647499694984,23.10678431289723,941561856,1000341504,67873396,bfbcd85bff8b8eb57c2be2368c5cba41aebe25c9892603894a59fc184ff035f6,037949731e462ecb42feb6e61b61fbca555dfe2a3d381464ad36a17b0a7ff9b9,437,87115,artifacts/experiments/C01/front/model.engine,"['results/benchmarks/notebook/C01/repeat-01/front_tensorrt_fp16_20260903_215536.json', 'results/benchmarks/notebook/C01/repeat-02/front_tensorrt_fp16_20260903_215551.json', 'results/benchmarks/notebook/C01/repeat-03/front_tensorrt_fp16_20260903_215606.json']",results/coco-evaluation/C01-front.json,0.000738974736806508,0.00026923025002978385,0.024682454715262314,12.514213825355077,1.1430428229835343,49.95427463784767,0.0,True,False,True,True,
C02,combined,structured-selected,int8,1x3x504x504,0.7400863602009445,0.935629372031065,0.7946246808446918,0.2807025861333039,0.5667246210482796,0.8420302932483863,0.8750164909589727,0.6023425986945383,0.8436519912250661,0.6540234660019252,0.05474042594410672,0.45577144316775253,0.7087602648651024,0.7341994491445925,0.741211228206296,3,200,600,"[25.829382500432985, 25.750064499789005, 26.244569499795034]","[26.16314230996977, 25.970315810009197, 26.55339257495143]",25.941338833339007,0.2655832527025451,0.010237839087982065,25.28154021115938,26.601137455518632,26.228950231643466,25.94122350046746,1.327865716085643,0.05062595736232182,23.68079799998668,30.9152380004889,24.428780200105393,25.27087749990642,27.108257250120005,28.634472450039535,29.786743840750205,1.8373797502135858,38.12581102821138,941561856,1000341504,67959596,828a0f74ef4b9629f999a99c3c955e97d69cc52306bf44aeea69f7f8d128c6e3,037949731e462ecb42feb6e61b61fbca555dfe2a3d381464ad36a17b0a7ff9b9,437,87107,artifacts/experiments/C02/front/model.engine,"['results/benchmarks/notebook/C02/repeat-01/front_tensorrt_int8_20260903_220423.json', 'results/benchmarks/notebook/C02/repeat-02/front_tensorrt_int8_20260903_220434.json', 'results/benchmarks/notebook/C02/repeat-03/front_tensorrt_int8_20260903_220445.json']",results/coco-evaluation/C02-front.json,0.0022274330351760296,-0.00030009719061219187,0.029204146501076722,47.136813489117756,1.8916755988482519,49.89071598629268,0.0,True,False,True,True,
