epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/out_line,val/AP/parking_lot,val/AP/parking_space,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
2,549,,,,,,,,,,,,,,,,,,,,,,,,,,,9.399485861649737e-06,9.399485861649737e-06,3.038444162939413e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,599,,,,,,,,,,,,,,,,,,,,,,,,,,,9.203999070450664e-06,9.203999070450664e-06,2.975251618408947e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,649,,,,,,,,,,,,,,,,,,,,,,,,,,,8.983672159956768e-06,8.983672159956768e-06,2.904029656747298e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3705350458621979,0.7878789901733398,0.7742696404457092,0.8211467266082764,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.905204176902771,0.6455128192901611,0.8476919531822205,0.8206834197044373,0.5592979788780212,8.78057861328125,0.021534813567996025,0.02053409069776535,0.02121569775044918,0.04042918235063553,0.604109525680542,0.845803439617157,0.6437031030654907,0.7183534502983093,0.1791127771139145,0.17351530492305756,0.17743416130542755,0.24498294293880463,0.04454518482089043,0.03894786909222603,0.044133685529232025,0.04587700963020325,0.13116835057735443,0.14041836559772491,0.13359060883522034,0.20130868256092072,0.9067100882530212,0.6442278623580933,0.6929818987846375,0.8414052724838257,0.8158376812934875,0.8266739845275879,0.8124702572822571,0.5586707592010498
2,680,2598.76220703125,2598.74853515625,2598.764404296875,2598.7646484375,13.422075271606445,7.751123428344727,0.01774994656443596,0.018696002662181854,0.01984138786792755,0.037645839154720306,0.4711993336677551,0.8627047538757324,0.556974470615387,0.5563229322433472,0.12500905990600586,0.12288402765989304,0.13395364582538605,0.18588756024837494,0.02417449653148651,0.02241331711411476,0.024173691868782043,0.03314980864524841,0.14220301806926727,0.1411372274160385,0.14342227578163147,0.20908381044864655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,699,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73980752658099e-06,8.73980752658099e-06,2.8251986350369407e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,749,,,,,,,,,,,,,,,,,,,,,,,,,,,8.473844900436234e-06,8.473844900436234e-06,2.7392246693125344e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,799,,,,,,,,,,,,,,,,,,,,,,,,,,,8.187356797861867e-06,8.187356797861867e-06,2.6466156555216003e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,849,,,,,,,,,,,,,,,,,,,,,,,,,,,7.882035788497888e-06,7.882035788497888e-06,2.5479187115706736e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,899,,,,,,,,,,,,,,,,,,,,,,,,,,,7.559685855085263e-06,7.559685855085263e-06,2.4437170509372663e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37725359201431274,0.7808992266654968,0.7889668345451355,0.8345707654953003,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.9142435789108276,0.651653528213501,0.8450824618339539,0.8269690871238708,0.5658890604972839,8.577079772949219,0.021187057718634605,0.020158404484391212,0.022402601316571236,0.04119911417365074,0.6013738512992859,0.8482077717781067,0.619496762752533,0.7009156346321106,0.1767047494649887,0.16178031265735626,0.1804114580154419,0.24372048676013947,0.04266700521111488,0.03793090954422951,0.0416589081287384,0.048115361481904984,0.11933595687150955,0.1368054896593094,0.13293012976646423,0.19197972118854523,0.9073147773742676,0.6490398645401001,0.6936136484146118,0.8455695509910583,0.8341855406761169,0.8350593447685242,0.8233141899108887,0.5640916228294373
3,907,2598.75341796875,2598.73779296875,2598.758544921875,2598.7587890625,13.086594581604004,7.679337024688721,0.018631940707564354,0.019189538434147835,0.02029694803059101,0.037111423909664154,0.463382750749588,0.8602306246757507,0.5443806052207947,0.555837869644165,0.12518762052059174,0.12164819985628128,0.13173159956932068,0.18270927667617798,0.024567456915974617,0.022520503029227257,0.024095755070447922,0.03302093967795372,0.14019180834293365,0.14004212617874146,0.14202889800071716,0.20489394664764404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,949,,,,,,,,,,,,,,,,,,,,,,,,,,,7.222211479529506e-06,7.222211479529506e-06,2.334626287847641e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,999,,,,,,,,,,,,,,,,,,,,,,,,,,,6.871607183711603e-06,6.871607183711603e-06,2.2212911687802261e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,6.509943887067493e-06,6.509943887067493e-06,2.1043811671006551e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,6.139358902146341e-06,6.139358902146341e-06,1.984587214565181e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
