split,images,ratio,target_ratio,absolute_ratio_error_pp,timestamp_sessions
train,3625,0.8116883116883117,0.8,1.1688311688311637,3
valid,404,0.09046126287505597,0.1,0.9538737124944032,2
test,437,0.09785042543663233,0.1,0.21495745633676733,2
