epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/out_line,val/AP/parking_lot,val/AP/parking_space,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
5,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.827217592013767e-06,5.827217592013767e-06,1.8836854565051908e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.680256890627788e-06,5.680256890627788e-06,1.8361795639521006e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.532695013243938e-06,5.532695013243938e-06,1.7884792669065064e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38466247235192e-06,5.38466247235192e-06,1.7406266294983652e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.236289780441439e-06,5.236289780441439e-06,1.6926642842918227e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08770790474955e-06,5.08770790474955e-06,1.6446342954168358e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93904872200801e-06,4.93904872200801e-06,1.596579153329003e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.790443654201226e-06,4.790443654201226e-06,1.548541632701017e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.642023213818902e-06,4.642023213818902e-06,1.5005639397713821e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.493919732340146e-06,4.493919732340146e-06,1.4526884228871495e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
