epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/out_line,val/AP/parking_lot,val/AP/parking_space,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
1,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.384729266166687,0.8410939574241638,0.7965284585952759,0.842788577079773,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.9279956221580505,0.674430251121521,0.8498376607894897,0.8355567455291748,0.5809838175773621,10.80689811706543,0.020056458190083504,0.023061925545334816,0.02433961257338524,0.02298819273710251,0.04387534409761429,0.5752720236778259,0.8378462195396423,0.6643384695053101,0.6214479207992554,0.7187429070472717,0.1747758686542511,0.1713549941778183,0.18610723316669464,0.1819031834602356,0.2505459487438202,0.043526001274585724,0.03997434303164482,0.044039297848939896,0.043330561369657516,0.045966919511556625,0.13091006875038147,0.14174671471118927,0.1323694884777069,0.13814188539981842,0.1976487785577774,0.9238722920417786,0.6741172075271606,0.7206512689590454,0.850073516368866,0.8551272749900818,0.8312398791313171,0.8284512758255005,0.5778288841247559
1,453,2598.753662109375,2598.725830078125,2598.75341796875,2598.749267578125,2598.753662109375,12.712569236755371,9.475436210632324,0.017022332176566124,0.0193666722625494,0.021087463945150375,0.01892678812146187,0.03942755237221718,0.4611755907535553,0.8799789547920227,0.5764696002006531,0.4918579161167145,0.57764732837677,0.12013029307126999,0.12347825616598129,0.13716930150985718,0.12828722596168518,0.18981634080410004,0.024913979694247246,0.02340417169034481,0.02486892230808735,0.02502010017633438,0.034605614840984344,0.13998527824878693,0.14151760935783386,0.14233702421188354,0.1402510106563568,0.20537500083446503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.568977475282736e-06,9.568977475282736e-06,3.0932332606425916e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.399485861649737e-06,9.399485861649737e-06,3.038444162939413e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.203999070450664e-06,9.203999070450664e-06,2.975251618408947e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.983672159956768e-06,8.983672159956768e-06,2.904029656747298e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39403074979782104,0.8481825590133667,0.7969124913215637,0.8502525091171265,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.9300680160522461,0.6772004961967468,0.8518514037132263,0.8373198509216309,0.5839182138442993,10.523401260375977,0.01874200813472271,0.021769464015960693,0.02233836054801941,0.020518144592642784,0.042569905519485474,0.5719461441040039,0.8375303745269775,0.6301036477088928,0.6125423908233643,0.7029665112495422,0.16961617767810822,0.17157256603240967,0.1831175684928894,0.17448429763317108,0.24724888801574707,0.04045315086841583,0.03941119462251663,0.04189731553196907,0.03878506273031235,0.04576215147972107,0.13167738914489746,0.13415004312992096,0.1328841894865036,0.12684395909309387,0.19744455814361572,0.933256983757019,0.6797086000442505,0.7337054014205933,0.8510453701019287,0.8562853336334229,0.8446604609489441,0.8399414420127869,0.5848557353019714
2,680,2598.75439453125,2598.72802734375,2598.75390625,2598.750244140625,2598.75439453125,13.157262802124023,9.305291175842285,0.0176142156124115,0.019673943519592285,0.02135256491601467,0.019328022375702858,0.03879326954483986,0.4213726222515106,0.8567375540733337,0.5479930639266968,0.4567645192146301,0.5417015552520752,0.12417559325695038,0.12560583651065826,0.13863502442836761,0.1308816522359848,0.1892959475517273,0.024031460285186768,0.02279813028872013,0.024181779474020004,0.024167489260435104,0.03346346318721771,0.138985738158226,0.14042487740516663,0.14213158190250397,0.13954707980155945,0.2062162160873413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73980752658099e-06,8.73980752658099e-06,2.8251986350369407e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.473844900436234e-06,8.473844900436234e-06,2.7392246693125344e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
