epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_3,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_3,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_3,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_3,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_3,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_3,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/out_line,val/AP/parking_lot,val/AP/parking_space,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_3,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_3,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_3,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_3,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_3,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_3,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,586,2598.740966796875,2598.740966796875,2598.740966796875,2598.740966796875,2598.740966796875,2598.7392578125,17.661842346191406,41.898216247558594,0.07764524966478348,0.11403355747461319,0.10527065396308899,0.08920940011739731,0.08108186721801758,0.17467331886291504,0.7277520895004272,0.832978367805481,0.7279521822929382,0.7548975944519043,0.7337093949317932,0.6859011650085449,0.2811081111431122,0.34418874979019165,0.3352169990539551,0.3099594712257385,0.28887462615966797,0.4613245129585266,0.11191744357347488,0.12891103327274323,0.13263875246047974,0.10342348366975784,0.09953325241804123,0.07437156140804291,0.3065829873085022,0.3097839951515198,0.29887068271636963,0.29479649662971497,0.29319798946380615,0.31224310398101807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999971553042997e-06,9.999971553042997e-06,3.2325550591849606e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999237590818666e-06,9.999237590818666e-06,3.2323177379112167e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.997512279369403e-06,9.997512279369403e-06,3.231759819755098e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.994794709200505e-06,9.994794709200505e-06,3.2308815889336984e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.991087608796079e-06,9.991087608796079e-06,3.229683045447018e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.986390068661422e-06,9.986390068661422e-06,3.228164757729246e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.980702998291235e-06,9.980702998291235e-06,3.2263264415632875e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.974028216674924e-06,9.974028216674924e-06,3.224168665383331e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96636754280189e-06,9.96636754280189e-06,3.22169228184066e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.957720976672135e-06,9.957720976672135e-06,3.21889700671818e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.948091246769764e-06,9.948091246769764e-06,3.215784261101362e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.937479262589477e-06,9.937479262589477e-06,3.2123540449902066e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5045602917671204,0.8548063635826111,0.7770900130271912,0.86639004945755,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,10.41433334350586,0.9402927160263062,0.6971559524536133,0.8112958073616028,0.8483296632766724,0.6215239763259888,25.727155685424805,0.0230752844363451,0.03370899334549904,0.03020772896707058,0.026926372200250626,0.02446206845343113,0.062667116522789,0.45336195826530457,0.6558369994163513,0.5944681167602539,0.5153056383132935,0.4836214780807495,0.6585720777511597,0.16139858961105347,0.1914975494146347,0.1957704722881317,0.18010954558849335,0.16496960818767548,0.28011462092399597,0.028560100123286247,0.025477956980466843,0.02689443528652191,0.028956284746527672,0.027738044038414955,0.033447664231061935,0.1412946581840515,0.14898183941841125,0.14817409217357635,0.14319664239883423,0.13911116123199463,0.22183845937252045,0.9481803178787231,0.7121522426605225,0.7940552830696106,0.8243911862373352,0.8590472936630249,0.8739861845970154,0.8498538136482239,0.6241340637207031
1,1173,2598.729248046875,2598.729248046875,2598.729248046875,2598.729248046875,2598.729248046875,2598.715087890625,13.302372932434082,29.19161605834961,0.03736418858170509,0.04222153499722481,0.044216498732566833,0.040523361414670944,0.03817274793982506,0.07542847096920013,0.5020508170127869,0.8293082118034363,0.6359086036682129,0.5509212017059326,0.5210773944854736,0.7200389504432678,0.17871470749378204,0.19213417172431946,0.20271944999694824,0.1903771311044693,0.18279364705085754,0.2795478403568268,0.03322376310825348,0.033060263842344284,0.034035325050354004,0.0344521664083004,0.0333382710814476,0.04298110678792,0.1667323261499405,0.18176214396953583,0.17080944776535034,0.16906534135341644,0.16772888600826263,0.24338628351688385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.925888662110083e-06,9.925888662110083e-06,3.2086072110359964e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.913321264320984e-06,9.913321264320984e-06,3.2045446118900145e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.899778888211586e-06,9.899778888211586e-06,3.2001671002035437e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.885264262265991e-06,9.885264262265991e-06,3.1954752444107726e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.869781024463009e-06,9.869781024463009e-06,3.1904701813800784e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.853331903286744e-06,9.853331903286744e-06,3.185152763762744e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.835919627221301e-06,9.835919627221301e-06,3.179524128427147e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.81754874374019e-06,9.81754874374019e-06,3.1735856964587583e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.798221981327515e-06,9.798221981327515e-06,3.167338036291767e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.777942977962084e-06,9.777942977962084e-06,3.1607828532287385e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.756717190612108e-06,9.756717190612108e-06,3.1539212841380504e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.734546438266989e-06,9.734546438266989e-06,3.146754750105174e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5342758297920227,0.8859248161315918,0.7928937077522278,0.8725883960723877,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,10.41433334350586,0.9518587589263916,0.7332985997200012,0.8347487449645996,0.8503281474113464,0.6274913549423218,24.177953720092773,0.020404038950800896,0.02835412509739399,0.026292623952031136,0.023608634248375893,0.0209792647510767,0.05595194548368454,0.43440884351730347,0.6085637211799622,0.5573230385780334,0.48045554757118225,0.4528505504131317,0.6151370406150818,0.14621518552303314,0.17902155220508575,0.17351184785366058,0.16225704550743103,0.14867240190505981,0.25696542859077454,0.026667596772313118,0.02525476925075054,0.026296326890587807,0.026760846376419067,0.02639240212738514,0.03310079127550125,0.13504932820796967,0.1463356763124466,0.1428951919078827,0.14544078707695007,0.13622507452964783,0.21418634057044983,0.9542499780654907,0.7376981377601624,0.821614682674408,0.8390635251998901,0.8737666606903076,0.8714927434921265,0.8483623266220093,0.6305062174797058
2,1760,2598.735595703125,2598.735595703125,2598.735595703125,2598.735595703125,2598.735595703125,2598.694091796875,13.288884162902832,27.336929321289062,0.032393671572208405,0.03688701614737511,0.03821024298667908,0.03551532328128815,0.03307810053229332,0.06770850718021393,0.4690416157245636,0.8024736642837524,0.6002954244613647,0.5215709805488586,0.4843968451023102,0.6661762595176697,0.15736660361289978,0.1729813516139984,0.17993545532226562,0.16916894912719727,0.1598280519247055,0.2551087439060211,0.030374757945537567,0.03049352951347828,0.03111216053366661,0.031294796615839005,0.030260907486081123,0.03967123478651047,0.15836291015148163,0.1708393692970276,0.1639760434627533,0.16083090007305145,0.1595546305179596,0.23511210083961487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.711437996884342e-06,9.711437996884342e-06,3.139284672215581e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.687394594948273e-06,9.687394594948273e-06,3.1315124715547427e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66242077993229e-06,9.66242077993229e-06,3.1234395692081307e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.636522918299306e-06,9.636522918299306e-06,3.115067954695405e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.609704648028128e-06,9.609704648028128e-06,3.1063987648849434e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.581972335581668e-06,9.581972335581668e-06,3.0974342735134996e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.553331437928136e-06,9.553331437928136e-06,3.0881759016665455e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.523787412035745e-06,9.523787412035745e-06,3.078625354646647e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.493345714872703e-06,9.493345714872703e-06,3.068784906190558e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.462012712901924e-06,9.462012712901924e-06,3.058656261600845e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42979477258632e-06,9.42979477258632e-06,3.048241694614262e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5452049374580383,0.8951956033706665,0.8059753775596619,0.8711415529251099,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,10.41433334350586,0.9493416547775269,0.744823157787323,0.8460292816162109,0.8552389740943909,0.6352409720420837,23.410383224487305,0.019837038591504097,0.027133475989103317,0.025175128132104874,0.02244439721107483,0.020129438489675522,0.05204936861991882,0.4155655801296234,0.5785859823226929,0.5337166786193848,0.4800506830215454,0.43936026096343994,0.5842395424842834,0.14273221790790558,0.1725742369890213,0.16645167768001556,0.15563787519931793,0.1442224234342575,0.24722513556480408,0.02702992781996727,0.025505416095256805,0.024934597313404083,0.027015918865799904,0.02499932236969471,0.03210226446390152,0.13875745236873627,0.14607243239879608,0.14019958674907684,0.1378990113735199,0.13364243507385254,0.21409429609775543,0.9528636336326599,0.7487919926643372,0.8309891223907471,0.8504156470298767,0.8748637437820435,0.8675212264060974,0.8569234609603882,0.640106201171875
3,2347,2598.734130859375,2598.734130859375,2598.734130859375,2598.734130859375,2598.734130859375,2598.70166015625,13.197291374206543,26.44927215576172,0.030044682323932648,0.03503556177020073,0.03600184619426727,0.03352132439613342,0.03126279637217522,0.0647234097123146,0.44906195998191833,0.7875971794128418,0.5812815427780151,0.5038532018661499,0.46775582432746887,0.6302943825721741,0.14791621267795563,0.16470646858215332,0.17074990272521973,0.16101138293743134,0.15182554721832275,0.24451741576194763,0.030398951843380928,0.030220799148082733,0.03069709986448288,0.03117704950273037,0.03014439158141613,0.039436567574739456,0.15653109550476074,0.1677563488483429,0.16067072749137878,0.15849138796329498,0.15733301639556885,0.2302696853876114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
